Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
BB Royal,Organic - Raisins/Ona Drakshi,500 g,₹236,₹305,Get it for ₹224.20!,23% OFF
LG,Powder - Asafoetida,100 g - Bottle,₹125.02,₹133,Har Din Sasta!,₹8 OFF
BB Royal,Coriander/Dhania Seeds,50 g,₹14,₹25,No Product Sale Price,44% OFF
BB Royal,"Organic - Mustard/Sasive/Rai, Small",500 g,₹104,₹105,Get it for ₹98.80!,₹1 OFF
BB Royal,"Urad Gota - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",1 kg - Pouch,₹176,₹217,Get it for ₹167.20!,19% OFF
Parachute,Coconut Oil - 100% Pure,300 ml - Bottle,₹95,₹127,Get it for ₹90.25!,25% OFF
BB Super Saver,Toor/Arhar Dal 5 kg,5 kg,₹878,₹1200,Get it for ₹834.10!,27% OFF
Parry's,Amrit Powdered Jaggery,2x500 g - Multipack,₹88,₹110,No Product Sale Price,20% OFF
BB Royal,Superior-Mp-Sharbati-Atta/Godihittu - Fortified,10 kg - Pouch,₹506,₹650,Get it for ₹480.70!,22% OFF
Tata Sampann,"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",2x1kg - Multipack,₹170,₹200,No Product Sale Price,15% OFF
BB Popular,Chana - Kabuli/Kabuli Kadale,200 g - Pouch,₹45,₹150,No Product Sale Price,70% OFF
BB Royal,Tamarind/Hunisehannu/Imli Seedless Cake,1 kg,₹234,₹400,No Product Sale Price,42% OFF
BB Royal,Rice Flour,500 g - Pouch,₹25,₹30,Get it for ₹23.75!,17% OFF
Tata Sampann,Fine Besan/Kadale Hittu - 100% Chana Dal,1 kg,₹134.1,₹149,Get it for ₹127.40!,₹15 OFF
BB Super Saver,Urad Gota/Whole,1 kg,₹159,₹210,No Product Sale Price,24% OFF
BB Royal,Organic - Cumin/Jeera/Jeerige,200 g,₹126,₹249,No Product Sale Price,49% OFF
BB Popular,Anjeer/Figs/Atti Hannu,500 g,₹655,₹1250,No Product Sale Price,48% OFF
BB Popular,Ponni Raw - Rice (6 + Months  Old),5 kg - (6 + Months Old),₹340,₹400,Flash Sale!,15% OFF
BB Popular,Fenugreek/Methi,1kg,₹144,₹300,No Product Sale Price,52% OFF
BB Royal,Til - White,200 g,₹70,₹100,No Product Sale Price,30% OFF
BB Royal,Phool Makhana,100 g - Pouch,₹150,₹200,No Product Sale Price,25% OFF
BB Royal,Maida,5x1 kg - Multipack,₹230.55,₹325,No Product Sale Price,29% OFF
BB Royal,Chilli - Guntur with Stem,500 g,₹231,₹350,No Product Sale Price,34% OFF
Saffola,Tasty Refined Cooking oil | Blended Rice bran & Corn oil | Pro Fitness Conscious,1 L - Pouch,₹133,₹150,Get it for ₹126.35!,11% OFF
Freedom,Refined Oil - Sunflower,1 L - Pouch,₹113,₹139,Har Din Sasta!,19% OFF
Dhara,Oil - Groundnut,1 L - Pouch,₹196.74,₹230,Get it for ₹186.90!,14% OFF
Tata Sampann,Unpolished Green Moong Dal - Whole,2 x 500 g - Multipack,₹194.04,₹198,No Product Sale Price,₹4 OFF
BB Popular,Chana - Brown/Kadale Kaalu,1 kg - Pouch,₹88,₹140,Get it for ₹83.60!,37% OFF
BB Popular,Raisins/Ona Drakshi - Indian,200 g - Pouch,₹54,₹100,Har Din Sasta!,46% OFF
GoodDiet,Himalayan Pink Rock Salt/Uppu Powder,1 kg,₹87,₹110,No Product Sale Price,21% OFF
Aashirvaad,Salt/Uppu - Iodised,1 kg - Pouch,₹16,₹25,No Product Sale Price,36% OFF
BB Royal,Organic Jaggery/Bella Powder,1 kg - Jar,₹107,₹189,No Product Sale Price,43% OFF
Safe Harvest,"Sona Masuri Raw Rice/Akki - 12 Months, Pesticide Free",5 kg,₹458.85,₹525,No Product Sale Price,13% OFF
BB Popular,Fennel/Saunf - Big,200 g,₹74,₹160,No Product Sale Price,54% OFF
Saffola,Active - Pro Weight Watchers,3x1 L - Multipack,₹447,₹480,No Product Sale Price,₹33 OFF
BB Popular,Phool Makhana,100 g - Pouch,₹119,₹120,Get it for ₹113.05!,₹1 OFF
BB Royal,Organic - Cinnamon/Chakke,20 g,₹26,₹27,No Product Sale Price,4% OFF
BB Royal,Tamil Ponni Boiled - Rice,1 kg - (12 - 17 Months Old),₹74,₹85,No Product Sale Price,13% OFF
BB Royal,Organic Pumpkin Seeds/Kumbalakayi Bija,50 g,₹45,₹55,No Product Sale Price,18% OFF
Fortune,Chakki Fresh Atta,1 kg - Pouch,₹57.36,₹85,No Product Sale Price,33% OFF
