Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Fresho,Onion - Sambhar (Loose),1 kg,₹71,₹97.26,No Product Sale Price,27% OFF
Fresho,Carrot - Ooty (Loose),1 kg,₹155,₹212.33,No Product Sale Price,27% OFF
Fresho,Papaya - Small,1 pc - 500 g - 800 g,₹40,₹54.79,Get it for ₹38!,27% OFF
Fresho,"Apple - Shimla, Premium",2x4 pcs - Multipack,₹404.42,₹554,No Product Sale Price,27% OFF
Fresho,Baby Banana - Robusta,1 kg - (9-12 pcs),₹36,₹50.68,Get it for ₹34.20!,29% OFF
Fresho,Apple - Pink Lady,4 pcs,₹165,₹226.03,Get it for ₹156.75!,27% OFF
Fresho,"Dates - Kimia, with Seed",1 pc - (Approx. 400 to 500g),₹221.19,₹303,Get it for ₹210.13!,27% OFF
Fresho,Ash Gourd - Cut,500 g,₹52,₹71.23,No Product Sale Price,27% OFF
Fresho,Banana - Red,1 kg,₹103,₹141.1,Get it for ₹97.85!,27% OFF
Fresho,Baby Corn - Peeled,500 g,₹147,₹201.37,No Product Sale Price,27% OFF
Fresho,Pomegranate - Premium,2 pcs - (220-250 g per pc),₹102,₹139.73,Get it for ₹96.90!,27% OFF
Fresho,Frozen Sweet Corn,1 kg - Pouch,₹145,₹200,Get it for ₹137.75!,28% OFF
Fresho,Baby Orange - Nagpur,1 kg - Approx (8-10 pcs),₹50,₹68.49,Get it for ₹47.50!,27% OFF
Fresho,"Beans - French, Ring (Loose)",1 kg,₹70,₹97.26,Get it for ₹66.50!,28% OFF
Fresho,Mosambi (Loose),6 pcs - 800 gm - 1 kg,₹65,₹120,Har Din Sasta!,46% OFF
Fresho,Coconut - Diced,150 g,₹36,₹49.32,Get it for ₹34.20!,27% OFF
Fresho,"Cut Cauliflower, Washed",300 g,₹36,₹49.32,Get it for ₹34.20!,27% OFF
Fresho,Beans - Diced,200 g,₹34,₹46.58,Get it for ₹32.30!,27% OFF
Fresho,Ladies' Fingers - Organically Grown (Loose),1 kg,₹91,₹124.66,No Product Sale Price,27% OFF
Fresho,"Apple - Red Delicious / Washington, Premium",2x4 pcs - Multipack,₹406,₹556.16,No Product Sale Price,27% OFF
Fresho,Broccoli - Florets,200 g,₹49,₹67.12,Get it for ₹46.55!,27% OFF
Fresho,Methi - Chopped,200 g,₹28,₹38.36,Get it for ₹26.60!,27% OFF
Fresho,Carrot Strips and Beans Strip,200 g,₹34,₹46.58,Get it for ₹32.30!,27% OFF
