Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Himalaya,Germ Free Baby Laundry Wash - 99.99% Germ Protection,1 L - Bottle,₹420.75,₹495,No Product Sale Price,15% OFF
Chicco,"Baby Moments - Body Lotion, Almond Milk, Murumuru Butter, For Hydrating Skin & Easy Absorption",500 ml,₹539.1,₹599,Get it for ₹512.15!,₹60 OFF
Johnson's baby,Baby Skincare Wipes - Super Saver Pack,72 pcs - (Rs. 60 Off on Pack of 2),₹479.4,₹510,Get it for ₹455.43!,₹31 OFF
Himalaya Baby,Baby Powder,400 g,₹275.5,₹290,Get it for ₹261.73!,₹15 OFF
Johnson's baby,Baby Powder - Blossoms Natural,100 g,₹112.8,₹120,Har Din Sasta!,₹7 OFF
Himalaya,"Total Care Baby Diaper Pants - Large, 8-14 kg, With Anti-Rash Shield",54 pcs,₹681.5,₹1099,Har Din Sasta!,38% OFF
Mamaearth,Berry Blast Toothpaste For Kids,2x50 g - Multipack,₹283.1,₹298,No Product Sale Price,₹15 OFF
Bigbasket,"Baby Wipes - Sea Breeze, No Paraben, Double Moisturizing",4x80 pcs - (Multipack),₹420,₹796,No Product Sale Price,47% OFF
Pampers,Diaper Pants -Large 192 / 168,1 pcs,₹2577,₹4197,Get it for ₹2448.15!,39% OFF
Dabur,Ayurvedic Medicine Lal Tail,2x500 ml - (Miltipack),₹680,₹850,No Product Sale Price,20% OFF
Mamaearth,Plant Based Laundry Detergent For Babies,1 L,₹551.08,₹599,Get it for ₹523.53!,₹48 OFF
SimMom,IQ+ Maternal Nutrition With DHA Health Drink - Vanilla Delight Flavour,400 g,₹565,No Product Price,Get it for ₹536.75!,No Discount
Mamaearth,Milky Soft Face Cream For Babies,50 ml,₹189.05,₹199,No Product Sale Price,₹10 OFF
Sebamed,Sebamed Baby Powder |With Olive Oil and Allantoin| For delicate skin,200 g,₹666,No Product Price,No Product Sale Price,No Discount
Himalaya,"Baby Diaper Rash Cream - With Almond Oil & Yashada Bhasma, Paraben Free",20 g,₹75.2,₹80,Har Din Sasta!,6% OFF
Huggies,"Wonder Diaper Pants - Medium, 7-12 Kg",2x50 pcs - Multipack,₹1172,₹1398,No Product Sale Price,16% OFF
Bio-Oil,Specialist Skin Care Oil,2x200 ml - Multipack,₹2288,₹2600,No Product Sale Price,12% OFF
Chicco,"Baby Moments - Mild Body Wash, Protect, Chamomile & Geranium, For Moisturised Skin, With A Soothing Touch",500 ml,₹449.1,₹499,Get it for ₹426.65!,₹50 OFF
Sebamed,Sebamed Baby Protective Facial Cream |Ph 5.5|Panthenol & Allantoin|Clinically tested,50 ml,₹851,No Product Price,No Product Sale Price,No Discount
Pampers,"Pampers  Premium Care Diaper Pants - S, 4-8 kg, Lotion with Al",36 pcs,₹590,₹899,Flash Sale!,34% OFF
Chicco,"Baby Moments - Mild Body Wash, Relax, Nettle & Willowherb, For Moisturised Skin, With A Relaxing Touch",500 ml,₹449.1,₹499,Get it for ₹426.65!,₹50 OFF
Pampers,"All-Round Protection Diaper Pants - M, 7-12 kg, Anti-Rash, Ultra Absorb, Leakage Prevention for upto 12 Hours",152 pcs,₹1875,₹2798,Get it for ₹1781.25!,33% OFF
Sebamed,Sebamed Baby Bubble Bath |PH 5.5| Camomile|No tears Sugar based cleanser|Soap free,200 ml,₹410,No Product Price,No Product Sale Price,No Discount
Himalaya,Baby Powder With Pure Cornstarch - Paraben Free,400 g,₹315,₹450,Get it for ₹299.25!,30% OFF
Bigbasket,"Baby Wipes - Cherry Blossom, No Paraben, Double Moisturizing",3x80 pcs - Multipack,₹315,₹597,No Product Sale Price,47% OFF
The Moms Co,Tear-Free Natural Baby Wash,400 ml,₹699,No Product Price,Get it for ₹664.05!,No Discount
Huggies,"Premium Soft Diaper Pants - Monthly Pack, Medium, Silky Cocoon Design, Wetness Indicator",124 pcs,₹1559.35,₹2399,Get it for ₹1481.38!,35% OFF
Huggies,"Wonder Pants - Small, Combo",56 pcs - (Pack of 2),₹1498,No Product Price,No Product Sale Price,No Discount
The Moms Co,Everything For Baby Suitcase Gift Box,7 pcs - 7,₹2399,No Product Price,No Product Sale Price,No Discount
The Moms Co,"Natural Baby Powder - Corn Starch & Calendula, Soothes, Keeps Skin Dry, Talc-Free",200 g,₹486,No Product Price,No Product Sale Price,No Discount
Chicco,"Baby Moments - Soft Cotton, Squares, For Baby's Skin",60 pcs,₹429,No Product Price,Get it for ₹407.55!,No Discount
Huggies,"Nature Care Pants for Babies, Small (S) Size Baby Diaper Pants,Nature's gentle protection with 100% organic cotton, Small Size",164 pcs,₹1559.35,₹2399,Get it for ₹1481.38!,35% OFF
Huggies,"Premium Soft Diaper Pants - Monthly Pack, Large, Silky Cocoon Design, Wetness Indicator",104 pcs,₹2255.06,₹2399,Har Din Sasta!,₹144 OFF
Dabur,Baby Wipes With Moisture Lock Cap,480 wipes - (Pack of 6),₹859.68,₹1194,No Product Sale Price,28% OFF
The Moms Co,Tear-Free Natural Baby Shampoo,400 ml,₹699,No Product Price,Get it for ₹664.05!,No Discount
Aveeno,Baby Moisture Cream Soothing Relief,227 g,₹1133.1,₹1259,Get it for ₹1076.45!,₹126 OFF
Mamypoko,Pants Extra Absorb Diapers - XXL,36 pcs,₹799.5,₹999,Har Din Sasta!,20% OFF
Himalaya Baby,Happy Baby Gift Pack,1 pc,₹1190.4,₹1280,Get it for ₹1130.88!,₹90 OFF
Johnson's baby,Baby Soap,100 g,₹78.02,₹83,Har Din Sasta!,6% OFF
Mamypoko,Pants Extra Absorb  XL,52 pcs,₹1119.5,₹1399,Get it for ₹1063.53!,20% OFF
