Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Horlicks,"Diabetes Plus - Helps Manage Blood Sugar, Vanilla",400 g - Cartoon,₹711,₹790,No Product Sale Price,₹79 OFF
Lipton,Darjeeling Tea,500 g,₹873,₹970,No Product Sale Price,₹97 OFF
Tata Tea Agni,"Special Blend Tea - 10% Extra Strong Leaves, Perfect Aroma & Taste",100 g - Pack,₹18.8,₹20,Har Din Sasta!,6% OFF
Boost,"Nutrition Drink - Health, Energy & Sports",200 g - Jar,₹103.4,₹110,Har Din Sasta!,₹7 OFF
Real Activ,100 % Apple Juice - With No Added Sugar and Preservative,3x1 L - Multipack,₹311.55,₹465,No Product Sale Price,33% OFF
Tropicana,"Fruit Juice - Delight, Apple",3x1 L - Multipack,₹339,No Product Price,No Product Sale Price,No Discount
Tropicana,100% Orange Juice,3x1 L - Multipack,₹435,No Product Price,No Product Sale Price,No Discount
Complan,"Nutrition & Health Drink - Improves Concentration & Memory, Chocolate Flavour",2x1 Kg - Multipack,₹1062.34,₹1218,No Product Sale Price,13% OFF
Pediasure,Health Drink Vanilla Delight,2x1 kg - Multipack,₹2775.5,₹3050,No Product Sale Price,₹275 OFF
Tetley,Green Tea - Long Leaf,2x250 g - Multipack,₹643.8,₹740,No Product Sale Price,13% OFF
Coca Cola,Original Taste Soft Drink - Refreshing,6x300 ml - Multipack,₹216,₹240,No Product Sale Price,₹24 OFF
Horlicks,Women'S Health & Nutrition Drink - Chocolate Flavour,2x400 g - Multipack,₹678.9,₹730,No Product Sale Price,₹51 OFF
Cadbury Bournvita,5 Star Magic Nutrition Drink,2x750 g - Multipack,₹686.79,₹808,No Product Sale Price,15% OFF
Real,Fruit Power Juice - Mixed Fruits,3X1 L - Multipack,₹354,₹384,No Product Sale Price,₹30 OFF
7 Up,Soft Drink - Lemon,24x750 ml - Multipack,₹902.4,₹960,No Product Sale Price,₹58 OFF
Mirinda,Soft Drink,2.25 L,₹77,₹99,Har Din Sasta!,22% OFF
Emperia,Premium Tea With 20% Extra Long Leaf,2x1 kg - (Multipack),₹838,₹1250,No Product Sale Price,33% OFF
3 Roses,Top Star Tea,500 g - Carton,₹394.8,₹420,Har Din Sasta!,₹25 OFF
Real,Pomegranate Fruit Power Juice,12 x 180 ml - Multipack,₹216,₹240,No Product Sale Price,₹24 OFF
B Natural,"Mixed Fruit - Rich In Fibre, Vitamin C & E, 100% Indian Fruit & 0% Concentrate",1 L - (Pack of 3),₹319.2,₹420,No Product Sale Price,24% OFF
Pepsi,"Black Soft Drink - Max Taste, Zero Sugar(Diet)",6x250 ml - Multipack,₹210,No Product Price,No Product Sale Price,No Discount
Coca Cola,Soft Drink,2 x 2.25 L - (Multipack),₹143,₹200,No Product Sale Price,29% OFF
Tetley,"Green Tea - Ginger Mint & Lemon, Rich In Antioxidants",12x140 g - Multipack,₹5700,₹7500,No Product Sale Price,24% OFF
Cadbury,Hot Chocolate Drink Powder Mix,2x200 g - Multipack,₹418.59,₹460,No Product Sale Price,₹41 OFF
RED BULL,Energy Drink,12X250 ml - Multipack,₹1410,₹1500,No Product Sale Price,₹90 OFF
Pepsi,Soft Drink,2.25 L,₹84.6,₹90,Har Din Sasta!,6% OFF
Protinex,"Nutritional Supplement - High Protein, Vanilla Flavour",2x400 g - (Multipack),₹1215,₹1350,No Product Sale Price,₹135 OFF
Continental,Xtra Coffee,200 g - Jar,₹369.07,₹399,Get it for ₹350.62!,₹30 OFF
Protinex,Nutritional Drink Mix For Adults With High Protein - Rich Chocolate,2 x 750 g - Multipack,₹1920,₹2470,No Product Sale Price,22% OFF
Boost,Energy & Nutrition Drink - 3X More Stamina,500 g - (Pack of 2),₹595,No Product Price,Get it for ₹565.25!,No Discount
Tropicana,Fruit Juice - Guava Delight,2x1 L - Multipack,₹230,No Product Price,No Product Sale Price,No Discount
Tata Tea Gold Care,Tea Blend With Rich Taste Natural Ingredients Improves Immunity Memory,1 Kg,₹497.7,₹630,Get it for ₹472.82!,21% OFF
Davidoff,Espresso 57 Intense Instant Coffee,2 x 100 g - Multipack,₹1300,No Product Price,No Product Sale Price,No Discount
Tropicana,Fruit Juice - Mixed Fruit Delight,2x1 L - Multipack,₹250,No Product Price,No Product Sale Price,No Discount
Davidoff,Fine Aroma Instant Coffee,2 x 100 g - Multipack,₹1300,No Product Price,No Product Sale Price,No Discount
Pediasure,"7+ Health Drink - With Oats & Almond, Vanilla Flavour",2 x 400 g - Multipack,₹1230,No Product Price,No Product Sale Price,No Discount
Continental Malgudi,Fresh Filter Coffee - 80 Degree,500 g - 1,₹289.23,₹310,Get it for ₹274.77!,₹21 OFF
