Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Best Buy,"Eggs - Wholesome, Rich In Protein, Vitamins & Amino Acids",30 pcs,₹300,No Product Price,No Product Sale Price,No Discount
Ayur Plus,Eggs,6 pcs,₹75,No Product Price,No Product Sale Price,No Discount
UPF,The Good Eggs Cage Free Eggs,6 pcs,₹129,No Product Price,No Product Sale Price,No Discount
Fresho,"Chicken Liver - Antibiotic Residue-Free, 6-8 pcs",250 g,₹39,₹64,No Product Sale Price,39% OFF
Fresho,"Chicken Drumstick - Without Skin, Antibiotic Residue-Free, 8 To 14 pcs",1 kg,₹399,₹620,No Product Sale Price,36% OFF
Fresho,Brown & White Egg Combo - Rich In Omega 3 & Protein,30 pcs,₹315,₹350,No Product Sale Price,₹35 OFF
Fresho,"Chicken Curry Cut - With Skin, Antibiotic Residue-Free, 6 To 9 Pcs",250 g,₹99,₹160,No Product Sale Price,38% OFF
UPF,"Healthy White Eggs - Daily, Large, Rich In Protein, Great For Bones",12 pcs,₹153,No Product Price,No Product Sale Price,No Discount
Fresho,Chicken - Soup Pieces,900 g - Pouch,₹79,₹130,No Product Sale Price,39% OFF
Fresho,"Country (Desi) Eggs - Small, Antibiotic Residue-Free",5x6 pcs - Multipack,₹470.4,₹500,No Product Sale Price,₹30 OFF
Fresho,"Country Cage Free Eggs - Medium, Antibiotic Residue-Free",6 pcs - TRAY,₹110,No Product Price,No Product Sale Price,No Discount
Fresho,Chicken Mince - Antibiotic Residue Free,500 g,₹259,₹410,Har Din Sasta!,37% OFF
ABHI EGGS,"GOLD+ with Immunity Boosters, 100% antibiotic free",6 Pcs,₹84.6,₹90,No Product Sale Price,6% OFF
Ifb,Fresh Catch Basa Fish Fillets,1 kg - Approx 2 - 3 pcs,₹477,₹530,No Product Sale Price,₹53 OFF
Ayur Egg,"Eggs - Free Range & Brown, Country",6 pcs,₹95,No Product Price,No Product Sale Price,No Discount
CP EVERYDAY,Eggs - White,12 pcs,₹140,No Product Price,No Product Sale Price,No Discount
Fresho,"Pangas/ Basa Fish - Curry Cut Cubes, Fresh & Flavourful",500 g,₹179,₹259,No Product Sale Price,31% OFF
Fresho,"White Prawns - Fresh, Peeled & De-Veined",250 g,₹299,₹470,Har Din Sasta!,36% OFF
Ocean Secret,Tuna Chunks  - Natural Spring Water,180 g,₹140,No Product Price,No Product Sale Price,No Discount
Fresho,"Chilli Chicken Pieces - Boneless, Antibiotic Residue-Free, 28 To 34 pcs",1 kg,₹399,₹620,Har Din Sasta!,36% OFF
Fresho,"Mackerel Fish - Large, Whole Cleaned, Preservative Free, 4 to 6 pcs","500 g - (Gross Fish Weight 600-700 g, Net Weight After Cleaning 500 g)",₹169,₹270,Har Din Sasta!,37% OFF
Fresho,Chicken Bones,500 g,₹29,₹51,No Product Sale Price,43% OFF
Fresho,"Chicken Leg - Boneless, Antibiotic Residue-Free, 2-3 pcs",250 g,₹79,₹130,No Product Sale Price,39% OFF
Fresho,"Country & White Egg Combo - High In Protein, Antibiotic & Pesticide Free",30 pcs,₹299,₹350,No Product Sale Price,15% OFF
Tasty Nibbles,"Tuna Chunks - Light Meat, in Water",185 g - Canned light meat tuna chunks with water as base,₹170,No Product Price,No Product Sale Price,No Discount
Buffet,Pork Streaky Bacon - Heat & Serve,400 g - Pouch,₹582.25,₹685,No Product Sale Price,15% OFF
SKM BEST,Egg White - Liquid,250 ml,₹100,No Product Price,No Product Sale Price,No Discount
SKM BEST,Brown Egg - Veg Feed & Extra Albumen,6 pcs - Pouch,₹95,No Product Price,No Product Sale Price,No Discount
