Product Brand Name,Product Name,Product Quantity,Product Offered Price,Product Original Price,Product Sale Price,Product Discount
Pedigree,"Dentastix Daily Oral Care - For Adult Large Breed Dogs, -",270 g - (Monthly Value Pack of 4),₹973.7,₹1070,Get it for ₹925.02!,₹96 OFF
Eveready,Carbon Zinc Battery Red HD AAA 1012,2 x 10 pcs - Multipack,₹261.74,₹360,No Product Sale Price,27% OFF
Pedigree,"PRO Dry Pet Food - For Adult Active Large Breed Dogs, 18 Months Onwards, -",1.2 kg,₹369.6,₹420,No Product Sale Price,12% OFF
Pedigree,"Wet Dog Food - Chicken & Liver Chunks In Gravy, For Adult Dogs",2 x 70 g - Multipack,₹80,₹100,No Product Sale Price,20% OFF
Hawkins Futura,"Hard Anodised Aluminium Non-Stick Tawa - 28 cm, 4.88 mm, with Handle, Q28",1 pc,₹1499,₹1525,Get it for ₹1424.05!,₹26 OFF
SHEBA,"Pet Food - For Adult Cats, Skipjack & Salmon",35 g - (Pack of 12),₹552,₹600,Get it for ₹524.40!,₹48 OFF
Duracell,"Chhota Power Alkaline Battery - AAA, 1.5 V, Leak-Proof",2 x 10 pcs - (Multipack),₹368.55,₹440,No Product Sale Price,16% OFF
Pedigree,"Pet Treat - For Puppy, Chicken Chunks in Gravy",70 g - (Pack of 15),₹462,₹600,No Product Sale Price,23% OFF
Yera,"Glass Jar With Printed Lid - Easy To Clean, Leak Proof, Small",200 ml - (Set of 4),₹115,₹175,Get it for ₹109.25!,34% OFF
Duracell,"Chhota Power Alkaline Battery - AA, 1.5 V, Leak-Proof",2 x 10 pcs - (Multipack),₹368.55,₹440,No Product Sale Price,16% OFF
Asian,"Storage Container - Assorted Colour, Plastic, Plain, Rectangular",800 ml - (Set of 3),₹129,₹201,Get it for ₹122.55!,36% OFF
Purepet,Ocean Fish Adult Cat Dry Food,2.8 kg,₹464.07,₹499,Get it for ₹440.87!,₹35 OFF
Whiskas,"Dry Pet Food - For Adult Cats, 1+ Years, Ocean Fish Flavour",480 g,₹235,No Product Price,Get it for ₹223.25!,No Discount
Whiskas,"Dry Pet Food - For Adult Cats, 1+ Years, Mackerel Flavour",1.2 kg,₹420.75,₹495,No Product Sale Price,15% OFF
Fackelmann,"ABS Plastic Refillable Gas Lighter, 27.5 Cm, Child Lock Feature",1 pc,₹159,₹199,Get it for ₹151.05!,20% OFF
Whiskas,"Tasty Mix Wet Cat Food - Chicken With Salmon Wakame Seaweed In Gravy, +1 Year",70 g - (Pack of 24),₹1104,₹1200,No Product Sale Price,₹96 OFF
Eveready,"Carbon Zinc D Size Battery - Heavy Duty, 1050 R20",2 x 2 pcs - Multipack,₹133.07,₹160,No Product Sale Price,17% OFF
Cello,"Glass Jar For Storage With See Through Lid - Borosilicate, Qube",1 L - (Set of 2),₹379,₹550,Get it for ₹360.05!,31% OFF
Purepet,"Purepet Ocean Fish Kitten Cat Dry Food, 1-12 Months",1.2 kg,₹278.07,₹299,Get it for ₹264.17!,₹21 OFF
Laplast,"Storewell Airtight Container - With Blue Lid, Transparent, Plastic, Plain, Rectangular",1 L - (Set of 4),₹90,₹355,Get it for ₹85.50!,75% OFF
Asian,"Dynamic Storage Plastic Container - Multipurpose, Airtight, Microwave Safe, Assorted",600 ml - (Set of 3),₹129,₹210,Get it for ₹122.55!,39% OFF
Eveready,"LED Bulb - 9 Watt,  Cool Day Light, Base B22D",2 x 1 pc - Multipack,₹161.5,₹300,No Product Sale Price,46% OFF
Purepet,Mackerel Adult Cat Dry Food,1 kg,₹185.07,₹199,Get it for ₹175.82!,₹14 OFF
Pigeon by Stovekraft,Aluminium Outer Lid Pressure Cooker Combo - Induction Base,2 pcs - (3 L + 2 L),₹1199,₹1995,Get it for ₹1139.05!,40% OFF
Pedigree,"Dry Pet Food - For Adult Dogs, Chicken & Vegetables",3 kg,₹653.65,₹769,Get it for ₹620.97!,15% OFF
IFFCO Urban Gardens,Magic Soil - Multi Purpose Potting Soil,5 Kg,₹299,₹375,Get it for ₹284.05!,20% OFF
Yera,Water/Juice Glass - Crystal Cut,250 ml - Set of 6,₹250,No Product Price,No Product Sale Price,No Discount
